Title,Price,Rating,Colors,Size,Gender,timestamp
Unknown Product,$100.00,Rating: ⭐ Invalid Rating / 5,5 Colors,Size: M,Gender: Men,2025-05-14T17:17:52.126699
T-shirt 2,$102.15,Rating: ⭐ 3.9 / 5,3 Colors,Size: M,Gender: Women,2025-05-14T17:17:52.127032
Hoodie 3,$496.88,Rating: ⭐ 4.8 / 5,3 Colors,Size: L,Gender: Unisex,2025-05-14T17:17:52.127385
Pants 4,$467.31,Rating: ⭐ 3.3 / 5,3 Colors,Size: XL,Gender: Men,2025-05-14T17:17:52.127735
Outerwear 5,$321.59,Rating: ⭐ 3.5 / 5,3 Colors,Size: XXL,Gender: Women,2025-05-14T17:17:52.128015
Jacket 6,$153.37,Rating: ⭐ 3.3 / 5,3 Colors,Size: S,Gender: Unisex,2025-05-14T17:17:52.128527
Crewneck 7,$430.75,Rating: ⭐ 4.3 / 5,3 Colors,Size: M,Gender: Men,2025-05-14T17:17:52.128966
T-shirt 8,$487.66,Rating: ⭐ 3.1 / 5,3 Colors,Size: L,Gender: Women,2025-05-14T17:17:52.129171
Hoodie 9,$248.26,Rating: ⭐ 3.2 / 5,3 Colors,Size: XL,Gender: Unisex,2025-05-14T17:17:52.129298
Pants 10,$193.76,Rating: ⭐ 4.2 / 5,3 Colors,Size: XXL,Gender: Men,2025-05-14T17:17:52.129417
Unknown Product,$100.00,Rating: ⭐ Invalid Rating / 5,5 Colors,Size: M,Gender: Men,2025-05-14T17:17:52.129534
Jacket 12,$532.99,Rating: ⭐ 3.9 / 5,3 Colors,Size: M,Gender: Unisex,2025-05-14T17:17:52.129648
Crewneck 13,$340.45,Rating: ⭐ 3.2 / 5,3 Colors,Size: L,Gender: Men,2025-05-14T17:17:52.129758
T-shirt 14,$203.05,Rating: ⭐ 3.8 / 5,3 Colors,Size: XL,Gender: Women,2025-05-14T17:17:52.129868
Hoodie 15,$136.51,Rating: ⭐ 3.6 / 5,3 Colors,Size: XXL,Gender: Unisex,2025-05-14T17:17:52.130954
